rule_id,category,priority,keywords,description,do_this,avoid_this
color-contrast,Accessibility,CRITICAL,contrast ratio text wcag,Minimum 4.5:1 contrast ratio for normal text (3:1 for large text),Use tools to verify contrast ratios; test in both light and dark mode,Gray-on-gray text; light colors on white; relying on visual check alone
focus-states,Accessibility,CRITICAL,focus ring keyboard outline,Visible focus rings on all interactive elements,2-4px focus ring with sufficient contrast; use :focus-visible,Removing outline:none without replacement; invisible focus indicators
alt-text,Accessibility,CRITICAL,alt text image description,Descriptive alt text for meaningful images,Write alt text that conveys the image purpose and content,Empty alt on meaningful images; alt text that says 'image' or filename
aria-labels,Accessibility,CRITICAL,aria label icon button a11y,aria-label for icon-only buttons and controls,Add descriptive aria-label to every icon-only interactive element,Icon buttons without labels; generic labels like 'button' or 'click here'
keyboard-nav,Accessibility,CRITICAL,keyboard tab order navigation,Tab order matches visual order with full keyboard support,Ensure logical tab sequence; support Enter Space Escape shortcuts,Unreachable elements; focus traps; tab order mismatching visual layout
form-labels,Accessibility,CRITICAL,label input form for attribute,Use label element with for attribute on every input,Associate every input with a visible label element,Placeholder-only labels; hidden labels without aria alternative
skip-links,Accessibility,CRITICAL,skip navigation main content,Skip to main content link for keyboard users,Add skip link as first focusable element on every page,Missing skip links on content-heavy pages
heading-hierarchy,Accessibility,CRITICAL,heading h1 h2 h3 hierarchy,Sequential heading levels without skipping,Use h1 through h6 in order; one h1 per page,Skipping heading levels (h1 to h3); using headings for styling only
color-not-only,Accessibility,CRITICAL,color meaning icon text indicator,Don't convey information by color alone,Add icon shape or text alongside color indicators,Red/green only for error/success; color-coded charts without patterns
dynamic-type,Accessibility,CRITICAL,dynamic type text scaling font size,Support system text scaling without layout breakage,Test at largest Dynamic Type size; use relative units,Fixed font sizes; truncation at larger text sizes; layout overflow
reduced-motion,Accessibility,CRITICAL,reduced motion prefers animation,Respect prefers-reduced-motion media query,Provide reduced or no animation alternative; test with setting on,Ignoring motion preferences; decorative animation without opt-out
voiceover-sr,Accessibility,CRITICAL,voiceover screen reader accessibility,Meaningful labels and logical reading order for screen readers,Test with VoiceOver/TalkBack; ensure logical content order,Missing accessibilityLabel; decorative elements announced to SR
escape-routes,Accessibility,CRITICAL,cancel back modal escape close,Provide cancel and back options in modals and multi-step flows,Always include visible close/cancel in modals and wizards,Modals without close button; multi-step flows without back navigation
keyboard-shortcuts,Accessibility,CRITICAL,keyboard shortcut accessibility alternative,Preserve system shortcuts and provide keyboard alternatives,Support standard shortcuts; offer keyboard for drag-and-drop,Overriding system shortcuts; gesture-only interactions
touch-target-size,Touch,CRITICAL,touch target size 44px 48dp tap,Minimum 44x44pt (iOS) or 48x48dp (Android) touch targets,Use hitSlop to extend small visual elements; measure actual tap area,Tiny icon buttons; close-together links; text-only tap targets
touch-spacing,Touch,CRITICAL,touch spacing gap between targets,Minimum 8px/8dp gap between adjacent touch targets,Maintain consistent spacing between all interactive elements,Cramped button groups; adjacent links without spacing
hover-vs-tap,Touch,CRITICAL,hover tap click touch interaction,Use click/tap for primary interactions not hover alone,Make all hover interactions accessible via tap or click,Hover-only menus; tooltip-only information; hover-dependent features
loading-buttons,Touch,CRITICAL,loading button spinner async disable,Disable button during async operations and show loading state,Show spinner or progress; prevent double-submission,Buttons that can be tapped multiple times; no loading feedback
error-feedback,Touch,CRITICAL,error message feedback clear,Clear error messages displayed near the problem,Show inline error below the relevant field with recovery guidance,Vague error messages; errors only at page top; no error at all
cursor-pointer,Touch,CRITICAL,cursor pointer clickable hand,Add cursor:pointer to all clickable non-link elements,Set cursor pointer on buttons cards and interactive elements,Default cursor on clickable elements; pointer on non-interactive elements
gesture-conflicts,Touch,CRITICAL,gesture swipe conflict horizontal scroll,Avoid horizontal swipe conflicts on main scrollable content,Use vertical scroll as primary; horizontal only in contained carousels,Full-width horizontal scroll areas; conflicting swipe directions
tap-delay,Touch,CRITICAL,tap delay 300ms touch-action,Eliminate 300ms tap delay on mobile,Use touch-action:manipulation on interactive elements,Ignoring tap delay; slow-feeling interactions on mobile
standard-gestures,Touch,CRITICAL,gesture standard platform swipe pinch,Use platform-standard gestures consistently,Follow iOS/Android gesture conventions; don't redefine standard gestures,Custom gestures replacing system ones; inconsistent gesture behavior
press-feedback,Touch,CRITICAL,press feedback ripple highlight visual,Visual feedback on press within 80-150ms,Ripple effect (Material) or opacity change on touch,No visual response to touch; delayed feedback beyond 150ms
haptic-feedback,Touch,CRITICAL,haptic vibration feedback confirmation,Use haptic feedback for confirmations and important actions,Light haptic on toggle switch and confirmation; impact on errors,Haptic on every tap; no haptic on important state changes
safe-area-awareness,Touch,CRITICAL,safe area notch dynamic-island gesture-bar,Keep primary touch targets away from system UI areas,Respect safe area insets for all fixed elements,Buttons under notch; content behind gesture bar; ignoring safe areas
image-optimization,Performance,HIGH,image webp avif srcset optimization lazy,Use modern formats and responsive images,WebP/AVIF with srcset/sizes; lazy load below-fold images,Uncompressed PNG; single-size images; eager-loading everything
image-dimension,Performance,HIGH,image dimension width height cls layout-shift,Declare width/height or aspect-ratio on images,Set explicit dimensions or use aspect-ratio CSS property,Missing dimensions causing layout shift (CLS); images popping in
font-loading,Performance,HIGH,font loading swap foit fout display,Use font-display:swap or optional to prevent invisible text,Preload critical fonts; use font-display:swap; limit font variants,Loading all font weights upfront; invisible text during load
critical-css,Performance,HIGH,critical css above-fold inline,Prioritize above-the-fold CSS loading,Inline critical CSS or use early-loaded stylesheet for ATF content,Render-blocking CSS for below-fold content; large monolithic CSS
lazy-loading,Performance,HIGH,lazy loading dynamic import code-splitting,Lazy load non-hero components and routes,Route-level code splitting; dynamic imports for heavy components,Loading entire app bundle upfront; importing unused components
bundle-splitting,Performance,HIGH,bundle split code route feature,Split code by route and feature for smaller initial load,React Suspense boundaries; Next.js dynamic imports; tree shaking,Single monolithic bundle; importing entire libraries for one function
virtualize-lists,Performance,HIGH,virtualize list long scroll flatlist,Virtualize lists with 50+ items for performance,Use FlatList/FlashList (RN) or react-window (web) for long lists,Rendering hundreds of DOM nodes; unmemoized list items
main-thread-budget,Performance,HIGH,main thread 16ms frame budget 60fps,Keep per-frame work under 16ms for smooth 60fps,Move heavy computation off main thread; batch DOM operations,Synchronous heavy computation during scroll; layout thrashing
progressive-loading,Performance,HIGH,skeleton shimmer loading placeholder,Use skeleton screens instead of blocking spinners,Skeleton placeholders matching content layout for >1s operations,Long-spinning loading indicators; blank screens during data fetch
debounce-throttle,Performance,HIGH,debounce throttle scroll resize input,Debounce/throttle high-frequency events,Debounce search input (300ms); throttle scroll handlers (16ms),Firing API calls on every keystroke; unthrottled scroll listeners
style-match,Style,HIGH,style match product type consistency,Match visual style to product type and audience,Use --design-system to get style recommendations for product type,Glassmorphism on enterprise dashboards; brutalism on healthcare
consistency,Style,HIGH,consistency style unified cohesive,Use the same visual style across all pages and components,Define style tokens and apply consistently; audit for drift,Mixing flat and skeuomorphic; different border radius per page
no-emoji-icons,Style,HIGH,emoji icon svg vector lucide,Use SVG icon libraries not emoji for UI elements,Lucide Heroicons react-native-vector-icons or @expo/vector-icons,Emoji as navigation icons; emoji as status indicators; emoji as buttons
viewport-meta,Layout,HIGH,viewport meta width device-width scale,Proper viewport meta tag without disabling zoom,width=device-width initial-scale=1; never maximum-scale=1,Disabling pinch-to-zoom; fixed-width viewport
mobile-first,Layout,HIGH,mobile-first responsive breakpoint,Design mobile-first then scale up progressively,Start with mobile layout; add complexity at larger breakpoints,Desktop-first with mobile as afterthought; hiding content on mobile
breakpoint-consistency,Layout,HIGH,breakpoint responsive 375 768 1024 1440,Use systematic consistent breakpoints,375 (phone) 768 (tablet) 1024 (laptop) 1440 (desktop),Random breakpoints; device-specific widths; too many breakpoints
horizontal-scroll,Layout,HIGH,horizontal scroll overflow mobile,No horizontal scroll on mobile viewport,Ensure all content fits viewport width; test on 320px minimum,Overflowing content; fixed-width tables without horizontal scroll container
