heading,body,keywords,scale,line_height,description,pairing_type
Inter,Inter,modern clean versatile saas professional,14 16 18 20 24 32 48,1.5,Versatile geometric sans-serif for clean modern interfaces,single-family
Playfair Display,Source Sans Pro,elegant luxury editorial serif,14 16 18 24 32 48 64,1.6,High-contrast serif with clean sans body for editorial luxury,contrast
Montserrat,Open Sans,professional geometric friendly,14 16 18 20 24 32 48,1.5,Geometric heading with humanist body for professional approachability,complement
Poppins,Nunito,friendly rounded playful soft modern,14 16 18 20 24 32 48,1.5,Rounded geometric pair for friendly approachable interfaces,harmony
Space Grotesk,DM Sans,tech modern developer startup,14 16 18 20 24 32 48,1.5,Technical grotesk pair for tech and developer products,complement
Lora,Merriweather Sans,traditional editorial reading content,14 16 18 20 24 32 48,1.7,Calligraphic serif with readable sans for content-heavy sites,contrast
Sora,Inter,modern startup minimal geometric,14 16 18 20 24 32 48,1.5,Contemporary geometric pair for modern startups,complement
Clash Display,Satoshi,bold statement brand hero,16 18 24 32 48 64 80,1.3,Display heading with balanced body for bold brand statements,contrast
DM Serif Display,DM Sans,classic modern bridging elegant,14 16 18 24 32 48 64,1.5,Classic serif display with modern sans body bridging eras,contrast
Outfit,Plus Jakarta Sans,contemporary versatile clean,14 16 18 20 24 32 48,1.5,Contemporary geometric pair for versatile clean designs,complement
Cabinet Grotesk,General Sans,editorial magazine premium,16 18 20 24 32 48 64,1.4,Editorial grotesk for premium magazine-style layouts,harmony
Fraunces,Commissioner,quirky distinctive creative warm,14 16 18 24 32 48 64,1.6,Quirky soft serif with clean sans for warm creative brands,contrast
JetBrains Mono,Inter,code developer monospace technical,13 14 16 18 20 24,1.6,Monospace heading with sans body for developer tools,contrast
Bricolage Grotesque,Instrument Sans,modern rounded friendly contemporary,14 16 18 20 24 32 48,1.5,Modern rounded grotesque pair for friendly contemporary designs,harmony
Geist,Geist Mono,developer vercel modern minimal,13 14 16 18 20 24 32,1.5,Vercel's type family for developer and modern minimal interfaces,single-family
Unbounded,Work Sans,bold expressive gaming entertainment,16 18 24 32 48 64 80,1.3,Expressive variable heading for gaming and entertainment,contrast
Gabarito,Noto Sans,warm friendly approachable rounded,14 16 18 20 24 32 48,1.5,Warm rounded heading with clean body for approachable designs,complement
Archivo,Source Sans 3,newspaper editorial column grid,14 16 18 20 24 32 48,1.6,Grotesque pair for newspaper and editorial column layouts,harmony
IBM Plex Sans,IBM Plex Serif,corporate enterprise trustworthy,14 16 18 20 24 32 48,1.5,IBM's type family conveying corporate trust and clarity,complement
Nunito Sans,Nunito,soft rounded friendly children education,14 16 18 20 24 32,1.6,Soft rounded family for children and education interfaces,single-family
Libre Baskerville,Libre Franklin,classic literary content reading,14 16 18 20 24 32 48,1.7,Classic Baskerville for literary and long-form reading,contrast
Manrope,System UI,minimal system-native clean,14 16 18 20 24 32 48,1.5,Minimal heading with system fonts for native-feeling interfaces,complement
Rubik,Karla,playful geometric balanced,14 16 18 20 24 32 48,1.5,Slightly rounded geometric pair for playful balanced designs,harmony
Raleway,Lato,light elegant thin heading,14 16 18 20 24 32 48,1.5,Elegant thin-weight heading with friendly body,complement
Oswald,Source Serif Pro,condensed bold impact newspaper,14 16 18 24 32 48 64,1.4,Condensed impact heading for newspaper and bold layouts,contrast
Cormorant Garamond,Fira Sans,luxury fashion haute editorial,14 16 18 24 32 48 64,1.6,Elegant Garamond for luxury and haute fashion,contrast
Figtree,Figtree,friendly geometric clean versatile,14 16 18 20 24 32 48,1.5,Friendly clean geometric sans for versatile modern use,single-family
Darker Grotesque,Jost,dark moody premium striking,14 16 18 20 24 32 48,1.4,Dark moody grotesque pair for premium striking designs,complement
Lexend,Lexend,readability accessibility dyslexia-friendly,14 16 18 20 24 32 48,1.6,Optimized for reading ease and accessibility,single-family
Noto Sans JP,Noto Serif JP,japanese multilingual global,14 16 18 20 24 32 48,1.7,Google's multilingual type family for Japanese and global use,complement
