name,keywords,description,background,border_radius,shadows,effects,anti_patterns
Glassmorphism,glass blur translucent frosted transparent overlay,Frosted glass effect with background blur and semi-transparent layers,rgba with backdrop-filter blur(10-20px),12-24px,subtle colored shadow with low opacity,backdrop-filter: blur(); border: 1px solid rgba(255 255 255 0.18),Heavy blur on text areas; blur on scrollable content causing jank; no fallback for unsupported browsers
Glassmorphism Dark,glass dark blur neon translucent,Dark variant of glassmorphism with neon-tinted glass panels,dark base (#0a0a0f) with rgba glass overlays,16-24px,colored glow shadows (e.g. 0 8px 32px rgba(100 100 255 0.2)),backdrop-filter: blur(16px); subtle gradient borders,Bright blur on dark causing contrast loss; neon overuse making text unreadable
Minimalism,minimal clean simple whitespace modern,Clean design with maximum whitespace and essential elements only,white or near-white (#fafafa),4-8px,minimal or none (use border instead),none or subtle transitions,Decorative elements; unnecessary borders; visual clutter; too many colors
Minimalism Warm,minimal warm neutral soft organic,Minimalism with warm neutral tones and organic feel,warm white (#faf8f5) or cream (#f5f0e8),8-12px,soft warm shadow (0 2px 8px rgba(0 0 0 0.06)),subtle warm color transitions,Cool/clinical colors; sharp geometric shapes; high contrast borders
Flat Design,flat clean bold simple colorful,Bold solid colors without shadows gradients or depth effects,solid colors from Material or custom palette,4px,none,color-block sections with clear boundaries,Fake depth; inconsistent corner radius; mixing with skeuomorphism
Material Design,material google elevation surface,Google's design system with elevation surfaces and intentional motion,surface system (#ffffff #f5f5f5 #eeeeee),4-16px (shape system),elevation system (0dp 1dp 2dp 4dp 8dp 16dp),ripple on interaction; shared axis transitions,Random shadows not from elevation scale; mixing elevation with flat; no motion
Neumorphism,neumorphic soft ui extruded embossed,Soft extruded/embossed shapes with subtle dual shadows on matching background,single muted color (#e0e5ec),12-20px,dual shadow: light top-left + dark bottom-right (inset or outset),box-shadow pairs creating emboss/deboss effect,Low contrast text; applying to small elements; poor accessibility; dark backgrounds
Brutalism,brutalist raw bold experimental typography,Raw bold aesthetic with stark typography and unconventional layouts,stark white or single bold color,0px (sharp edges),hard offset shadows (4px 4px 0 #000),thick borders; monospace type; broken grid; raw HTML aesthetic,Sacrificing usability for style; inaccessible color combinations; hiding navigation
Claymorphism,clay 3d rounded soft inflated,3D clay-like UI with inflated rounded shapes and inner shadows,pastel or soft gradient backgrounds,16-24px,layered: outer shadow + inner highlight (inset 0 -2px 4px rgba(0 0 0 0.1)),inner shadow for inflated look; subtle gradient on surface,Flat elements mixed with clay; too many clay elements causing visual fatigue
Skeuomorphism,skeuomorphic realistic texture physical,Realistic textures and physical metaphors mimicking real objects,textured gradients mimicking materials,varies by object metaphor,realistic multi-layered shadows,gradients textures reflections mimicking physical surfaces,Overdone textures; inconsistent metaphors; heavy assets hurting performance
Dark Mode,dark theme night low-light,Dark color scheme optimized for low-light and OLED,dark surface (#121212 or #1a1a2e),8-12px,elevated surfaces use lighter shade not shadow,desaturated colors; lighter surface = higher elevation,Pure black (#000) background with white text; saturated colors on dark; same colors as light mode inverted
Aurora Gradient,aurora gradient mesh colorful vivid,Vivid multi-color mesh gradients as backgrounds or accents,mesh gradient with 3-5 color stops,12-16px,colored glow matching gradient tones,CSS mesh gradient or conic-gradient; animated gradient shift,Too many gradient sections; gradient on text without solid fallback; performance-heavy animation
Retro Pixel,retro pixel 8bit vintage nostalgic game,8-bit pixel art aesthetic with retro color palettes,solid retro colors (limited palette),0px (pixel-perfect edges),pixel-offset hard shadows,pixelated images; monospace/pixel fonts; CRT effects,Modern smooth elements mixed with pixel art; anti-aliased fonts breaking aesthetic
Bento Grid,bento grid mosaic card layout,Grid-based layout with varied card sizes creating mosaic patterns,neutral or gradient backgrounds,12-16px,subtle consistent card shadows,CSS Grid with span variations; hover-expand animations,All cards same size (defeats purpose); too many size variations; no visual hierarchy
Organic Soft,organic natural biomorphic blob curved,Biomorphic shapes with soft curves and nature-inspired forms,soft natural tones (#f4ede4 #e8ddd0),20-40px (blob-like),diffused soft shadows,border-radius: 30-50% for blob shapes; wave dividers; organic SVG paths,Sharp geometric shapes; rigid grid layouts; harsh colors
