name,keywords,primary,secondary,accent,background,surface,text,description
Ocean Blue,saas technology professional trust,#2563EB,#1E40AF,#38BDF8,#F8FAFC,#FFFFFF,#0F172A,Professional blue conveying trust and reliability for SaaS
Emerald Growth,fintech finance banking growth,#059669,#047857,#34D399,#F0FDF4,#FFFFFF,#064E3B,Green tones signaling growth and financial prosperity
Sunset Coral,lifestyle beauty wellness warm,#F97316,#EA580C,#FB923C,#FFF7ED,#FFFFFF,#431407,Warm coral tones evoking approachability and vitality
Royal Purple,creative premium luxury,#7C3AED,#6D28D9,#A78BFA,#FAF5FF,#FFFFFF,#2E1065,Rich purple conveying creativity and premium quality
Rose Gold,beauty cosmetics luxury feminine,#E11D48,#BE123C,#FDA4AF,#FFF1F2,#FFFFFF,#4C0519,Elegant rose tones for beauty and luxury brands
Midnight Blue,enterprise security corporate,#1E3A5F,#0F2440,#3B82F6,#F1F5F9,#FFFFFF,#0C1824,Deep navy conveying enterprise-grade security and trust
Forest Green,sustainability eco organic nature,#166534,#14532D,#4ADE80,#F0FDF4,#FFFFFF,#052E16,Natural green palette for eco-conscious and organic brands
Electric Violet,gaming entertainment tech neon,#8B5CF6,#7C3AED,#C4B5FD,#0F0A1A,#1A1425,#E8E0FF,Vibrant violet for gaming and entertainment platforms
Warm Amber,food restaurant hospitality,#D97706,#B45309,#FCD34D,#FFFBEB,#FFFFFF,#451A03,Appetizing amber tones for food and hospitality
Steel Gray,industrial manufacturing logistics,#4B5563,#374151,#9CA3AF,#F3F4F6,#FFFFFF,#111827,Professional gray for industrial and B2B applications
Cherry Red,bold energetic sports fitness,#DC2626,#B91C1C,#FCA5A5,#FEF2F2,#FFFFFF,#450A0A,Bold red conveying energy and athletic performance
Teal Medical,healthcare medical clinical,#0D9488,#0F766E,#5EEAD4,#F0FDFA,#FFFFFF,#134E4A,Calming teal for healthcare and medical applications
Sky Blue,education learning friendly,#0EA5E9,#0284C7,#7DD3FC,#F0F9FF,#FFFFFF,#082F49,Friendly sky blue for education platforms
