topic,keywords,pattern,anti_pattern,description
Memo Components,memo rerender performance pure,Wrap expensive pure components with React.memo and compare props,Memoizing every component regardless of render cost,Use React.memo for components that re-render frequently with same props
useMemo Hook,usememo expensive computation cache,Cache expensive computations with useMemo and stable dependencies,useMemo for trivial computations or unstable dependency arrays,Reserve useMemo for genuinely expensive calculations not simple lookups
useCallback Hook,usecallback function reference stable,Stabilize callback references with useCallback for child memo,useCallback on every function regardless of whether children memo,Only useful when passed to memoized children or used in effect deps
FlatList Optimization,flatlist performance scroll list rendering,Use keyExtractor getItemLayout and windowSize for FlatList tuning,Rendering all items without virtualization; inline renderItem,Properly configured FlatList with extracted components and stable keys
FlashList Migration,flashlist performance list recycling,Replace FlatList with FlashList for recycling-based list rendering,Keeping FlatList for very large lists with complex items,FlashList from Shopify provides recycling architecture for better perf
Image Optimization,image loading cache fast-image performance,Use react-native-fast-image for caching and priority image loading,Default Image component for lists; no placeholder or cache strategy,FastImage provides aggressive caching resizing and priority loading
Navigation Performance,navigation screen lazy loading stack,Lazy load screens and use native stack navigator for performance,Importing all screens eagerly; JS-based stack navigator,Use @react-navigation/native-stack and React.lazy for screen components
Reanimated Animations,reanimated animation worklet ui-thread,Run animations on UI thread with react-native-reanimated worklets,Animated API for complex animations running on JS thread,Reanimated worklets execute on UI thread for smooth 60fps animation
Gesture Handler,gesture handler touch pan swipe,Use react-native-gesture-handler for native-driven gesture recognition,PanResponder for complex gestures; JS-driven gesture processing,Native gesture handling avoids JS thread bottleneck for smooth interaction
State Management,state zustand jotai context redux,Use Zustand or Jotai for lightweight state; Redux for complex flows,Single global store for everything; Context for frequently changing state,Match state tool to complexity: local state > Zustand > Redux Toolkit
Bundle Size,bundle size tree-shaking imports splitting,Use named imports and tree-shaking; lazy load feature modules,Import entire libraries (import _ from lodash); no code splitting,Named imports enable tree-shaking; dynamic imports reduce initial bundle
Hermes Engine,hermes engine bytecode startup performance,Enable Hermes for faster startup and reduced memory on Android,V8/JSC on Android without bytecode precompilation,Hermes precompiles to bytecode for faster TTI and lower memory usage
Inline Styles,inline style stylesheet performance object,Use StyleSheet.create for style deduplication and validation,Inline style objects in render creating new references each render,StyleSheet.create deduplicates and validates styles at creation time
Component Extraction,component extraction renderitem pure child,Extract renderItem and complex JSX into separate pure components,Inline arrow functions in renderItem FlatList and map callbacks,Extracted components prevent parent re-renders from recreating closures
Effect Cleanup,effect cleanup subscription timer unmount,Always return cleanup function from useEffect for subscriptions,Missing cleanup causing memory leaks and state updates after unmount,Clean up event listeners timers and subscriptions in effect return
Key Prop,key prop list unique stable identifier,Use stable unique IDs as keys not array index,Array index as key causing state bugs on reorder/filter/insert,Stable keys let React correctly track identity across re-renders
Debounced Search,debounce search input api throttle,Debounce search input with 300ms delay before API calls,Firing API request on every keystroke flooding the server,Debounced input reduces API calls and prevents UI jank during typing
Error Boundary,error boundary fallback crash recovery,Wrap feature sections with error boundaries for graceful degradation,No error boundaries letting one component crash entire app,Error boundaries prevent cascading crashes and show recovery UI
Suspense Boundaries,suspense loading fallback lazy boundary,Use Suspense boundaries with fallback UI for lazy-loaded content,No Suspense fallback causing blank screens during lazy load,Suspense provides declarative loading states for async components
Platform Specific,platform select ios android adaptive,Use Platform.select and .ios.js/.android.js for platform code,Single implementation ignoring platform conventions and capabilities,Platform-specific files and Platform.select for adaptive behavior
